Language,Wiki,Depth+
English,en,360.4262428011554
German,de,40.118325110442036
French,fr,37.95556627492966
Italian,it,23.495694857775124
Japanese,ja,13.107680677504698
Russian,ru,11.592736593969724
Polish,pl,8.708631332401648
Hebrew,he,8.266500242715907
Spanish,es,8.234548238680913
Chinese,zh,7.49682091597299
Portuguese,pt,7.430165348380405
Ukrainian,uk,5.9385500329157965
Persian,fa,5.60582257395477
Czech,cs,3.379108691073845
Indonesian,id,3.076268653520746
Korean,ko,2.691503591531062
Thai,th,2.5272690853075614
Hungarian,hu,2.4401213193416376
Finnish,fi,2.337440307034016
Norwegian (Bokmål),no,2.0830113898059257
Estonian,et,2.0666182886461684
Catalan,ca,2.0661420540308355
Swedish,sv,1.993284467488475
Vietnamese,vi,1.961497713974849
Arabic,ar,1.844128133194069
Turkish,tr,1.8213745541231803
Greek,el,1.7933943734263094
Dutch,nl,1.7370494573437671
Serbian,sr,1.6657818412483667
Moroccan Arabic,ary,1.5823592564919031
Bengali,bn,1.5282191156510965
Bulgarian,bg,1.257212031982844
Uzbek,uz,1.253108338343677
Danish,da,1.1145188798723327
Nigerian Pidgin,pcm,1.0437271370687777
Azerbaijani,az,0.9250572708253585
Latvian,lv,0.912835818084747
Romanian,ro,0.9058352986019047
Ripuarian,ksh,0.8553341055227408
Malayalam,ml,0.8441160766519127
Greenlandic,kl,0.8319216831377634
Armenian,hy,0.7592118897939972
Tamil,ta,0.7337534378798183
Tyap,kcg,0.7234878421268023
Slovene,sl,0.7159426270607256
Macedonian,mk,0.7118212431451489
Telugu,te,0.6782321759573628
Serbo-Croatian,sh,0.6765520604740654
Icelandic,is,0.6036273462839624
Tulu,tcy,0.5751712979966666
Basque,eu,0.5457135452787092
Tagalog,tl,0.5375684000671891
Inari Sámi,smn,0.5292645544227065
Shilha,shi,0.47457510904258265
Pa'O,blk,0.4740464708664678
Wayuu,guc,0.47043363031091057
Simple English,simple,0.4663078950205163
Slovak,sk,0.4500234870993457
