Language,Wiki,Depth+
English,en,347.81344198926223
Ukrainian,uk,71.86930036749565
German,de,37.87632076113123
French,fr,34.973215499776266
Italian,it,20.330885756819235
Japanese,ja,12.21245326897378
Russian,ru,11.300048512284167
Polish,pl,7.823468037449632
Chinese,zh,7.742370437720406
Portuguese,pt,7.425546880310063
Hebrew,he,7.202925192486029
Spanish,es,7.200108487540865
Persian,fa,5.946030599699409
Swedish,sv,5.845174800542851
Estonian,et,4.349564039674597
Vietnamese,vi,3.5365286733787347
Indonesian,id,2.8663059772858435
Thai,th,2.8125595641021883
Dutch,nl,2.717266336787898
Pali,pi,2.615537194010343
Czech,cs,2.559273604310009
Hungarian,hu,2.449467184440419
Korean,ko,2.3302829698064444
Arabic,ar,2.0066613818925636
Finnish,fi,1.9673099001641832
Serbian,sr,1.6599217638629133
Turkish,tr,1.5588382408645023
Norwegian (Bokmål),no,1.5552670619843982
Greek,el,1.5277327401238732
Moroccan Arabic,ary,1.4431720534059589
Macedonian,mk,1.2585612176149037
Bengali,bn,1.2544423665937168
Catalan,ca,1.2090372147142945
Romanian,ro,1.1270731107686274
Ripuarian,ksh,1.1013469201012
Bulgarian,bg,1.0391070960731053
Serbo-Croatian,sh,0.9439164221749438
Danish,da,0.8789287594104562
Uzbek,uz,0.7953328711159988
Greenlandic,kl,0.7753430467536464
Azerbaijani,az,0.7544510584202497
Cebuano,ceb,0.7405852314358834
Malayalam,ml,0.740359698809962
Basque,eu,0.7273726309143489
Nigerian Pidgin,pcm,0.7251712069171318
Latvian,lv,0.6702223505297049
Armenian,hy,0.6667551395186754
Tulu,tcy,0.5716056573429826
Tyap,kcg,0.5654215486267061
Telugu,te,0.5628469559781475
Slovak,sk,0.5295316682340623
Inari Sámi,smn,0.5270740093816911
Urdu,ur,0.4992102422974065
Slovene,sl,0.4976659750094128
Tamil,ta,0.47899204468164586
Shilha,shi,0.47454135067659586
Pa'O,blk,0.4740464708664678
Wayuu,guc,0.4534726559608273
Icelandic,is,0.4043427562426638
Simple English,simple,0.370897070363012
Mon,mnw,0.35922086494127675
Assamese,as,0.35640235873785914
Doteli,dty,0.34886507915297366
Tagalog,tl,0.3429550516178681
Kurdish (Sorani),ckb,0.30941655411120716
Seediq,trv,0.30582037847948945
Croatian,hr,0.2999429283546334
Malay,ms,0.29242241759858323
Bihari (Bhojpuri),bh,0.29206277634662275
Afrikaans,af,0.2895972998228657
Cree,cr,0.28588736621519856
Southern Min,zh-min-nan,0.28314928441099074
Albanian,sq,0.2773808226220772
Tigrinya,ti,0.27338428832916045
Ingush,inh,0.26724679225092285
Swahili,sw,0.26260842452603284
Volapük,vo,0.2581026238110286
Lithuanian,lt,0.25348605715526873
Welsh,cy,0.24486258443363215
Esperanto,eo,0.24365428299458292
Sicilian,scn,0.24283349887888023
Konkani (Goan Konkani),gom,0.24235748932266393
Luxembourgish,lb,0.23951898455741
Galician,gl,0.23594494449687425
Maltese,mt,0.23564449792247344
Bosnian,bs,0.23152463759409866
Punjabi,pa,0.22313849368181662
Somali,so,0.21285336276162245
Hindi,hi,0.2095589790824254
Southern Altai,alt,0.20620330770842893
Odia,or,0.20498074399990265
Nepali,ne,0.19552740970854754
Tatar,tt,0.19442276641613138
Sango,sg,0.18919546846337632
Iñupiaq,ik,0.18635902654300776
Latin,la,0.18253514551044028
Judaeo-Spanish,lad,0.17626491019517201
Limburgish,li,0.17088539099731018
Khmer,km,0.17060078388898353
Nahuatl,nah,0.16799125272992504
Kazakh,kk,0.16633490065664372
Fula,ff,0.16561631259108042
Belarusian,be,0.1604198339801549
Amis,ami,0.15638821485471113
Aromanian,roa-rup,0.1551217039222767
Malagasy,mg,0.1530628113372842
Belarusian (Taraškievica),be-tarask,0.1516422004919523
Western Armenian,hyw,0.1488988364349004
Swazi,ss,0.14755410892881834
Norwegian (Nynorsk),nn,0.14114592363785447
West Frisian,fy,0.13993089092355634
Alemannic German,als,0.13686774380164551
Georgian,ka,0.13564493644837053
Irish,ga,0.13223937887784157
Kannada,kn,0.13138826714798238
Occitan,oc,0.12864237408650248
Ligurian,lij,0.12815496490975273
Fiji Hindi,hif,0.12773777317011203
Chewa,ny,0.12195072188940555
South Azerbaijani,azb,0.12126373649364816
Twi,tw,0.12058910166789252
