Language,Wiki,Depth
Akan,ak,inf
Cree,cr,2785.7140300289043
Greenlandic,kl,2334.5599234331066
English,en,1187.951797463407
Dzongkha,dz,1167.407545605509
Ripuarian,ksh,1029.6227724595665
Tigrinya,ti,795.7453328586686
Serbo-Croatian,sh,744.9175023183357
Vietnamese,vi,719.6747141705666
Bihari (Bhojpuri),bh,606.2281240802562
Inuktitut,iu,495.3456827680801
Lak,lbe,408.8962249181491
Thai,th,325.2452031062418
Bengali,bn,317.01662996463955
Doteli,dty,296.27680106621835
Sango,sg,294.031035183304
Iñupiaq,ik,276.22747041923844
Moroccan Arabic,ary,275.9101882816757
Hebrew,he,267.4623933771145
Volapük,vo,261.84516201271225
Karachay-Balkar,krc,260.5284230099548
French,fr,257.37103928269073
Arabic,ar,252.55432506543994
Aromanian,roa-rup,246.7209534438512
Hindi,hi,228.91779751084056
Lojban,jbo,216.43153161969775
Chinese,zh,206.54969950403122
Tulu,tcy,206.19102955934437
Old Church Slavonic,cu,204.7042149908752
Spanish,es,200.57078497335831
Classical Chinese,zh-classical,198.35693764759313
Gan Chinese,gan,195.94290722004055
Malayalam,ml,194.53619154009908
Portuguese,pt,191.25876977482974
Italian,it,184.00527983169124
Pontic Greek,pnt,178.83193277126796
Kalmyk Oirat,xal,177.87039845282942
Ewe,ee,175.44203578811783
Tsonga,ts,172.36429430822236
Assamese,as,169.29523487160722
Korean,ko,167.53090094894276
Sanskrit,sa,167.47988085537207
Turkish,tr,165.08609554999828
Serbian,sr,160.39412227828234
Tagalog,tl,157.63080951853806
Tok Pisin,tpi,155.59646044542976
Russian,ru,153.84692003052993
Romanian,ro,151.37841201713834
Persian,fa,150.0490188563839
Adyghe,ady,148.50993519170055
Novial,nov,144.2228171876124
Gothic,got,139.10823610382366
Old English,ang,135.42013348490775
Indonesian,id,131.43809274204492
Tyap,kcg,125.00992956990989
Ingush,inh,123.31098784535862
Chamorro,ch,122.25905365090284
Swazi,ss,121.1921808512815
Manx,gv,121.11532732709831
Bambara,bm,119.50311749898562
Chewa,ny,114.49919294035388
Nahuatl,nah,112.05831471211503
Judaeo-Spanish,lad,108.41092132417506
Maltese,mt,107.04649397988852
Kannada,kn,105.43990083438815
Urdu,ur,102.37808048401001
Romani (Vlax Romani),rmy,102.31184919196409
Cherokee,chr,100.86748613889367
Telugu,te,100.5044590500523
Norfuk,pih,98.95439331409392
Wolof,wo,97.84088748717403
Sotho,st,97.34644211526178
German,de,93.05553292153022
Limburgish,li,91.80231480860088
Southern Altai,alt,90.77015770414248
Mongolian,mn,90.46166238013116
Japanese,ja,88.88644351820746
Maldivian,dv,88.39457734160803
Aramaic (Syriac),arc,87.94779689647179
Bosnian,bs,87.48231698576843
Kirundi,rn,82.43338486777671
Sinhala,si,81.67329206673917
Macedonian,mk,80.62488053652072
Avar,av,77.99616393598247
Odia,or,77.20267889156754
Latvian,lv,73.76391182064968
Kabardian,kbd,73.22899000065794
Tswana,tn,72.66988006503946
Ilocano,ilo,72.3498498184858
Bavarian,bar,71.73427709183711
Veps,vep,71.60993990915878
Lower Sorbian,dsb,71.51503072298509
Fiji Hindi,hif,68.12303205438732
Pennsylvania Dutch,pdc,68.08623306929132
Gujarati,gu,65.23532949884667
Aragonese,an,64.25408548856355
Ossetian,os,62.24291450370458
Hungarian,hu,60.28526882951645
Nepali,ne,59.75732022710884
Simple English,simple,59.741630843380634
Konkani (Goan Konkani),gom,58.68155947505423
Tetum,tet,58.678537793875186
Danish,da,58.46702861030179
Greek,el,57.581613750631796
Samoan,sm,57.49240367378569
Buryat (Russia Buriat),bxr,57.14127695604267
Ukrainian,uk,54.97388474625708
Moksha,mdf,54.87769586197874
Cheyenne,chy,54.17777518260574
Scots,sco,51.81287820511778
Latgalian,ltg,51.75328389163408
Kurdish (Sorani),ckb,51.28883546110864
Czech,cs,50.20754917023149
Khmer,km,49.39180425129251
Dinka,din,48.87741208531599
Armenian,hy,48.77153526783638
Fula,ff,48.678594777737224
