Language,Wiki,Depth
Pali,pi,134558.70852162328
Cebuano,ceb,19351.68670317233
Ukrainian,uk,6813.971377036121
Vietnamese,vi,3100.772666970032
Serbo-Croatian,sh,2335.261730247256
Greenlandic,kl,2175.787505665772
Cree,cr,2035.923738937928
Ripuarian,ksh,1644.3290904483738
English,en,1175.9120563484453
Dzongkha,dz,899.6205375781775
Bihari (Bhojpuri),bh,858.4835237309856
Tigrinya,ti,793.1206265574937
Somali,so,747.4791212910696
Volapük,vo,738.0220385966143
Sicilian,scn,696.0331987677997
Southern Min,zh-min-nan,622.0341610562481
Newar,new,519.9401041662256
Aromanian,roa-rup,508.4534743596289
Macedonian,mk,467.89769745595925
Arabic,ar,456.2924991176274
Malagasy,mg,437.6575909079668
Thai,th,426.58799047154866
Romanian,ro,324.73624686238026
Lak,lbe,313.4557899920821
Serbian,sr,311.1509961553204
Inuktitut,iu,301.423026446887
Sango,sg,289.65777080062793
Bengali,bn,269.0335468227945
Moroccan Arabic,ary,251.640625442335
Doteli,dty,249.5839357351713
French,fr,244.63792170664638
Chinese,zh,241.7218909499623
Hebrew,he,234.3894282015684
Karachay-Balkar,krc,232.14291957222585
Persian,fa,228.8238162117753
Urdu,ur,221.02792382137585
Portuguese,pt,217.15325401741754
Tulu,tcy,204.9127962400142
Old Church Slavonic,cu,202.8778233277748
Iñupiaq,ik,191.6943548244102
Gan Chinese,gan,189.39061119557314
Classical Chinese,zh-classical,185.50534978490583
Lojban,jbo,184.85335747498016
Spanish,es,175.56049728584878
Malayalam,ml,170.63046660708116
Italian,it,170.02650852856888
Ewe,ee,169.54010106396808
Hindi,hi,167.01944642015374
Russian,ru,162.71834721348483
Indonesian,id,162.0806057006591
Assamese,as,156.45056362391384
Swedish,sv,155.9633850950373
Tsonga,ts,155.1191273261292
Korean,ko,152.3038407308653
Adyghe,ady,148.50993519170055
Chechen,ce,148.18844863457042
Turkish,tr,145.99589943943417
Amharic,am,132.60317500070965
Tok Pisin,tpi,125.26974559118823
Chamorro,ch,122.25905365090284
Ingush,inh,120.58768341015181
Chewa,ny,114.37594889791325
Gothic,got,113.79296265593376
Sanskrit,sa,112.73919208765949
Nahuatl,nah,112.04385624301065
Judaeo-Spanish,lad,106.67185163016401
Erzya,myv,105.26717787884168
Tagalog,tl,100.78028541964086
Pontic Greek,pnt,100.15681296609795
Novial,nov,97.7873339568854
Tyap,kcg,97.697990008166
Odia,or,96.88637111544722
Limburgish,li,91.75455023320062
Estonian,et,91.56468684125804
Fiji Hindi,hif,89.96920000289278
German,de,87.9061089829633
Kannada,kn,87.79016415352675
Maldivian,dv,85.2000649649797
Telugu,te,83.75437067751682
Maltese,mt,83.48533715132734
Japanese,ja,82.83302098419799
Kirundi,rn,81.06523968842842
South Azerbaijani,azb,78.44526804706936
Kalmyk Oirat,xal,78.04308819652108
Avar,av,77.29404582618695
Sinhala,si,76.62136571831046
Mongolian,mn,73.68513965208295
Tswana,tn,72.2850767191338
Bosnian,bs,72.15816725715283
Sotho,st,71.35890958214416
Hungarian,hu,71.26404923571756
Bambara,bm,70.89306857777919
Swazi,ss,70.85618287512378
Manx,gv,69.66086799195608
Afrikaans,af,69.3224824343843
Cherokee,chr,69.17235949817182
Veps,vep,68.6004231929825
Wolof,wo,67.97260107019108
Gagauz,gag,67.40456288212367
Belarusian (Taraškievica),be-tarask,66.49743615913214
Old English,ang,65.09106655851949
Romani (Vlax Romani),rmy,64.99504489510542
Tatar,tt,61.78095056482009
Bavarian,bar,59.82182543522679
Armenian,hy,55.61694284395039
Luxembourgish,lb,55.088478993649666
Latvian,lv,54.16434155161314
Nepali,ne,53.31249130188889
Konkani (Goan Konkani),gom,52.22178147546315
Buryat (Russia Buriat),bxr,51.13280894720867
Ossetian,os,50.48421077304128
Southern Altai,alt,49.37277552829824
Greek,el,49.198836730644075
Danish,da,48.79530248741566
