Language,Wiki,Total_Pages,Articles,Non_Articles,Edits,Admins,Users,Active_Users,Depth,Depth_simple,Depth+,Depth+_simple
Akan,ak,1709,0,1709,29870,1,13690,15,inf,inf,,inf
Cree,cr,2194,161,2033,38331,2,18047,16,2785.7140300289043,2785.7140300289047,0.3911740070819867,0.39117400708198674
Greenlandic,kl,2303,243,2060,74813,3,12910,13,2334.5599234331066,2334.559923433107,0.8319216831377634,0.831921683137763
English,en,58292187,6664191,51627996,1153807890,897,45653439,119629,1187.951797463407,1187.951797463407,360.4262428011554,360.4262428011554
Dzongkha,dz,2624,237,2387,30198,1,9934,10,1167.407545605509,1167.407545605509,0.11667942155490828,0.11667942155490828
Ripuarian,ksh,10584,2937,7647,1607510,3,22192,16,1029.6227724595665,1029.6227724595665,0.8553341055227408,0.855334105522741
Tigrinya,ti,2809,265,2544,24254,2,9066,15,795.7453328586686,795.7453328586686,0.2742890100577255,0.2742890100577255
Serbo-Croatian,sh,4648152,458229,4189923,41413464,8,185922,193,744.9175023183357,744.9175023183357,0.6765520604740654,0.6765520604740652
Vietnamese,vi,19423170,1283881,18139289,70026977,18,912442,1952,719.6747141705666,719.6747141705666,1.961497713974849,1.9614977139748488
Bihari (Bhojpuri),bh,73145,8439,64706,754247,2,32481,51,606.2281240802562,606.2281240802563,0.24828660722010504,0.248286607220105
Inuktitut,iu,3013,451,2562,46249,2,18445,13,495.3456827680801,495.34568276808005,0.12291375516126085,0.12291375516126084
Lak,lbe,15205,1267,13938,51375,1,8191,14,408.8962249181491,408.89622491814913,0.06353022090485107,0.06353022090485105
Thai,th,1028332,156437,871895,10767003,17,449458,1145,325.2452031062418,325.2452031062417,2.5272690853075614,2.5272690853075614
Bengali,bn,1169854,138339,1031515,6670400,14,421036,1081,317.01662996463955,317.0166299646395,1.5282191156510965,1.5282191156510967
Doteli,dty,19837,3327,16510,238663,3,6055,14,296.27680106621835,296.2768010662183,0.4141317402928931,0.41413174029289307
Sango,sg,1989,315,1674,20708,2,6338,11,294.031035183304,294.0310351833041,0.19205194906566647,0.19205194906566653
Iñupiaq,ik,2714,504,2210,38990,2,8445,18,276.22747041923844,276.22747041923844,0.26853937633645775,0.26853937633645775
Moroccan Arabic,ary,57050,6713,50337,279951,7,9441,58,275.9101882816757,275.9101882816757,1.5823592564919031,1.5823592564919031
Hebrew,he,1419887,335573,1084314,36373107,32,1080785,3373,267.4623933771145,267.46239337711455,8.266500242715907,8.266500242715908
Volapük,vo,149908,33639,116269,3285698,2,33839,37,261.84516201271225,261.84516201271225,0.16566771912588582,0.16566771912588585
Karachay-Balkar,krc,14368,2079,12289,107134,1,10148,14,260.5284230099548,260.5284230099548,0.06080518762647863,0.06080518762647862
French,fr,12585167,2526907,10058260,204433216,151,4672904,18166,257.37103928269073,257.37103928269073,37.95556627492966,37.95556627492966
Arabic,ar,8114946,1207295,6907651,62604633,21,2429812,4834,252.55432506543994,252.55432506543994,1.844128133194069,1.8441281331940689
Aromanian,roa-rup,4379,1333,3046,206910,1,13619,14,246.7209534438512,246.7209534438512,0.1109913415922965,0.1109913415922965
Hindi,hi,1254583,156813,1097770,5860307,6,762016,1116,228.91779751084056,228.9177975108406,0.2873436596730795,0.2873436596730795
Lojban,jbo,5754,1328,4426,112115,1,15880,14,216.43153161969775,216.43153161969775,0.057251218695591716,0.05725121869559172
Chinese,zh,7403279,1358547,6044732,77240294,66,3354080,8207,206.54969950403122,206.54969950403122,7.49682091597299,7.496820915972991
Tulu,tcy,10041,1881,8160,110013,3,5454,22,206.19102955934437,206.19102955934432,0.5751712979966666,0.5751712979966664
Old Church Slavonic,cu,5647,1200,4447,84173,2,24431,18,204.7042149908752,204.70421499087522,0.08139583051567652,0.08139583051567652
Spanish,es,7919346,1867110,6052236,151169819,58,6864209,15750,200.57078497335831,200.5707849733583,8.234548238680913,8.234548238680912
Classical Chinese,zh-classical,101852,12447,89405,391582,6,98086,61,198.35693764759313,198.35693764759316,0.10304438653852187,0.10304438653852187
Gan Chinese,gan,33755,6635,27120,395886,1,40220,26,195.94290722004055,195.94290722004055,0.030989321750770103,0.030989321750770096
Malayalam,ml,508370,83677,424693,3839214,15,171641,252,194.53619154009908,194.53619154009905,0.8441160766519127,0.8441160766519128
Portuguese,pt,5524248,1103348,4420900,65810951,53,2926486,8595,191.25876977482974,191.25876977482977,7.430165348380405,7.430165348380405
Italian,it,7732020,1813163,5918857,133512293,120,2389751,8301,184.00527983169124,184.00527983169124,23.495694857775124,23.495694857775128
Pontic Greek,pnt,2059,487,1572,35339,1,10025,10,178.83193277126796,178.83193277126796,0.05526333736879651,0.05526333736879651
Kalmyk Oirat,xal,12170,2049,10121,88722,1,9799,16,177.87039845282942,177.87039845282945,0.05879771332725194,0.05879771332725194
Ewe,ee,3687,832,2855,54934,2,14083,17,175.44203578811783,175.44203578811783,0.1234339450484332,0.12343394504843323
Tsonga,ts,3865,741,3124,37481,2,9601,12,172.36429430822236,172.36429430822238,0.10219961515617261,0.10219961515617261
Assamese,as,86412,11825,74587,367701,5,37581,108,169.29523487160722,169.29523487160722,0.3856631745754732,0.3856631745754732
Korean,ko,3083088,636278,2446810,34928036,28,789048,1741,167.53090094894276,167.5309009489428,2.691503591531062,2.6915035915310623
Sanskrit,sa,73086,12052,61034,477278,3,37590,46,167.47988085537207,167.4798808553721,0.12141062466846807,0.12141062466846807
Turkish,tr,2463266,524399,1938867,29747432,19,1502133,3225,165.08609554999828,165.08609554999828,1.8213745541231803,1.8213745541231805
Serbian,sr,4027055,671359,3355696,25853564,17,328140,1002,160.39412227828234,160.3941222782824,1.6657818412483667,1.665781841248367
Tagalog,tl,238267,44830,193437,2017267,11,132313,177,157.63080951853806,157.63080951853806,0.5375684000671891,0.537568400067189
Tok Pisin,tpi,5695,1359,4336,87047,1,13077,17,155.59646044542976,155.59646044542976,0.06339729005191863,0.06339729005191863
Russian,ru,7704437,1919744,5784693,130543641,72,3398060,10716,153.84692003052993,153.84692003052993,11.592736593969724,11.59273659396972
Romanian,ro,2678088,439966,2238122,15666050,17,619342,1109,151.37841201713834,151.37841201713834,0.9058352986019047,0.9058352986019047
Persian,fa,5513903,964466,4549437,37183547,36,1224045,5992,150.0490188563839,150.0490188563839,5.60582257395477,5.605822573954771
Adyghe,ady,3459,477,2982,13144,1,6721,21,148.50993519170055,148.50993519170055,0.07422524637560345,0.07422524637560345
Novial,nov,4433,1532,2901,178301,2,11401,13,144.2228171876124,144.2228171876124,0.1736902392651315,0.17369023926513152
Gothic,got,3822,872,2950,46455,1,18801,9,139.10823610382366,139.10823610382369,0.01968379678583285,0.01968379678583285
Old English,ang,17085,3950,13135,209234,2,121913,50,135.42013348490775,135.42013348490775,0.033404135575359685,0.033404135575359685
Indonesian,id,3535079,650119,2884960,23595354,44,1409469,3327,131.43809274204492,131.43809274204492,3.076268653520746,3.0762686535207466
Tyap,kcg,3489,638,2851,21842,2,928,12,125.00992956990989,125.00992956990989,0.7234878421268023,0.7234878421268022
Ingush,inh,13327,2174,11153,62441,2,3870,22,123.31098784535862,123.31098784535862,0.2732821878572578,0.2732821878572578
Chamorro,ch,2513,544,1969,23452,1,15254,11,122.25905365090284,122.25905365090286,0.024358085830803657,0.024358085830803664
Swazi,ss,2582,673,1909,38891,3,8126,16,121.1921808512815,121.19218085128152,0.2523760599151497,0.2523760599151498
Manx,gv,23895,5960,17935,319592,3,19286,19,121.11532732709831,121.1153273270983,0.11895335053134234,0.11895335053134232
Bambara,bm,3225,792,2433,40839,1,10452,10,119.50311749898562,119.50311749898562,0.03721884627386189,0.0372188462738619
Chewa,ny,4689,1023,3666,41807,3,10207,13,114.49919294035388,114.4991929403539,0.12208212801183797,0.12208212801183796
Nahuatl,nah,17418,5927,11491,519274,3,21673,21,112.05831471211503,112.05831471211502,0.16801293081580004,0.16801293081580004
Judaeo-Spanish,lad,13005,3627,9378,210891,4,20597,22,108.41092132417506,108.41092132417508,0.17913855454233102,0.17913855454233105
Maltese,mt,19954,5375,14579,290338,5,21552,33,107.04649397988852,107.04649397988854,0.3021478763693398,0.3021478763693399
Kannada,kn,134694,30002,104692,1166344,4,81188,106,105.43990083438815,105.43990083438814,0.15780316613440148,0.15780316613440148
Urdu,ur,1039933,191045,848888,5392410,11,163697,274,102.37808048401001,102.37808048401001,0.424223567365311,0.42422356736531097
Romani (Vlax Romani),rmy,2916,855,2061,51344,1,17112,17,102.31184919196409,102.3118491919641,0.04216598082936309,0.042165980829363084
Cherokee,chr,4141,1051,3090,48322,1,23520,23,100.86748613889367,100.8674861388937,0.033549492306148274,0.03354949230614828
Telugu,te,324892,83183,241709,3867300,13,121323,183,100.5044590500523,100.50445905005232,0.6782321759573628,0.6782321759573628
Norfuk,pih,3344,897,2447,44465,1,11139,17,98.95439331409392,98.95439331409392,0.05536002424197067,0.05536002424197066
Wolof,wo,5412,1668,3744,105099,3,14677,15,97.84088748717403,97.84088748717402,0.1336459520722886,0.13364595207228858
Sotho,st,4405,914,3491,29394,2,10059,16,97.34644211526178,97.34644211526178,0.08107960053692885,0.08107960053692885
German,de,7744033,2806282,4937751,232762839,181,4159845,17434,93.05553292153022,93.05553292153019,40.118325110442036,40.11832511044203
Limburgish,li,66418,14304,52114,459352,7,27854,27,91.80231480860088,91.80231480860088,0.17097434863616673,0.1709743486361667
Southern Altai,alt,4461,1068,3393,40119,3,2261,10,90.77015770414248,90.77015770414246,0.37909772257146285,0.3790977225714628
Mongolian,mn,99878,22108,77770,730145,3,84127,101,90.46166238013116,90.46166238013114,0.09262093220067896,0.09262093220067895
Japanese,ja,4050814,1375993,2674821,95284187,42,2078161,14184,88.88644351820746,88.88644351820746,13.107680677504698,13.107680677504696
Maldivian,dv,11465,3030,8435,130772,4,24385,16,88.39457734160803,88.39457734160803,0.08333748293659898,0.08333748293659898
Aramaic (Syriac),arc,6492,1886,4606,95728,2,19758,13,87.94779689647179,87.94779689647179,0.04738851356972328,0.047388513569723296
Bosnian,bs,372658,92072,280586,3510378,9,152517,171,87.48231698576843,87.48231698576845,0.28966913454306226,0.28966913454306226
Kirundi,rn,2516,633,1883,23438,1,9464,14,82.43338486777671,82.43338486777671,0.04099301176620985,0.04099301176620985
Sinhala,si,88221,19156,69065,554301,3,63200,95,81.67329206673917,81.67329206673918,0.1021538302999009,0.1021538302999009
Macedonian,mk,540175,136419,403756,4971819,12,109298,238,80.62488053652072,80.6248805365207,0.7118212431451489,0.7118212431451488
Avar,av,15975,3337,12638,86870,2,14245,21,77.99616393598247,77.99616393598247,0.060720863070278706,0.060720863070278706
Odia,or,74790,16799,57991,484531,6,33384,50,77.20267889156754,77.20267889156756,0.20097317133388248,0.20097317133388246
Latvian,lv,488481,120381,368100,3853682,14,114692,310,73.76391182064968,73.76391182064968,0.912835818084747,0.912835818084747
Kabardian,kbd,6914,1605,5309,46274,1,9603,17,73.22899000065794,73.22899000065796,0.039191090515894894,0.039191090515894894
Tswana,tn,4419,1052,3367,31349,2,9848,22,72.66988006503946,72.66988006503946,0.10144524688694188,0.1014452468869419
Ilocano,ilo,70263,15378,54885,399077,2,16919,25,72.3498498184858,72.3498498184858,0.059907215767689564,0.05990721576768957
Bavarian,bar,109333,26916,82417,836499,3,66663,68,71.73427709183711,71.7342770918371,0.07169118466122328,0.07169118466122328
Veps,vep,33313,6853,26460,160018,1,15202,23,71.60993990915878,71.60993990915878,0.028060235337569205,0.028060235337569205
Lower Sorbian,dsb,11240,3342,7898,143927,1,18005,27,71.51503072298509,71.5150307229851,0.04537924689652721,0.04537924689652721
Fiji Hindi,hif,45299,10668,34631,292832,4,31681,45,68.12303205438732,68.12303205438734,0.11923000654388309,0.1192300065438831
Pennsylvania Dutch,pdc,5923,2005,3918,105609,1,31999,18,68.08623306929132,68.08623306929132,0.019599516194288964,0.01959951619428896
Gujarati,gu,123270,30182,93088,845374,3,73807,63,65.23532949884667,65.23532949884667,0.05416283978827249,0.0541628397882725
Aragonese,an,134307,43748,90559,2013968,6,72690,78,64.25408548856355,64.25408548856353,0.1998474063375596,0.19984740633755957
Ossetian,os,63231,17056,46175,536983,3,23698,25,62.24291450370458,62.24291450370459,0.07276286178149485,0.07276286178149484
Hungarian,hu,1507783,526145,981638,26113087,25,533984,1613,60.28526882951645,60.28526882951645,2.4401213193416376,2.4401213193416376
Nepali,ne,106713,31731,74982,1141989,6,62735,93,59.75732022710884,59.75732022710884,0.22492728914476165,0.22492728914476165
Simple English,simple,753218,231269,521949,8834388,18,1311992,1284,59.741630843380634,59.741630843380634,0.4663078950205163,0.46630789502051634
Konkani (Goan Konkani),gom,9354,3574,5780,209871,4,9593,18,58.68155947505423,58.68155947505422,0.27233684914780265,0.27233684914780265
Tetum,tet,3804,1350,2454,67552,2,9424,18,58.678537793875186,58.678537793875186,0.12331210645928957,0.12331210645928958
Danish,da,926006,291806,634200,11462010,25,456198,756,58.46702861030179,58.46702861030178,1.1145188798723327,1.1145188798723327
Greek,el,654377,222925,431452,10059223,21,392973,1128,57.581613750631796,57.5816137506318,1.7933943734263094,1.7933943734263096
Samoan,sm,3350,1076,2274,43122,1,10112,12,57.49240367378569,57.49240367378569,0.032283191502138264,0.032283191502138264
Buryat (Russia Buriat),bxr,11083,2772,8311,70451,1,14713,21,57.14127695604267,57.141276956042674,0.027202445250192876,0.02720244525019288
Ukrainian,uk,4398184,1266668,3131516,39559077,49,692440,3774,54.97388474625708,54.973884746257085,5.9385500329157965,5.9385500329157965
Moksha,mdf,14848,3406,11442,72202,3,9091,17,54.87769586197874,54.87769586197874,0.09164253350597909,0.09164253350597909
Cheyenne,chy,2240,696,1544,24660,1,11248,17,54.17777518260574,54.17777518260574,0.03691107756868873,0.036911077568688735
Scots,sco,140450,36148,104302,874063,3,102896,82,51.81287820511778,51.81287820511778,0.04293050234529933,0.04293050234529934
Latgalian,ltg,3305,1042,2263,36264,1,7123,23,51.75328389163408,51.753283891634084,0.07694598595432749,0.07694598595432747
Kurdish (Sorani),ckb,205860,49900,155960,1080860,8,56513,153,51.28883546110864,51.28883546110863,0.35542110497784646,0.3554211049778464
Czech,cs,1470518,525404,945114,22816957,31,621964,2429,50.20754917023149,50.207549170231495,3.379108691073845,3.3791086910738453
