,Language,Wiki,Depth+
0,English,en,376.7745143961491
1,German,de,40.644263446516725
2,French,fr,36.894155308547326
3,Italian,it,20.44656443915536
4,Japanese,ja,12.357339828533064
5,Russian,ru,12.24836896071657
6,Polish,pl,7.908182146110092
7,Chinese,zh,7.907209413521098
8,Portuguese,pt,7.680159953818027
9,Spanish,es,6.90186864819313
10,Ukrainian,uk,6.401811759217945
11,Swedish,sv,6.16126411511921
12,Persian,fa,5.738648450573042
13,Hebrew,he,5.028210838092891
14,Vietnamese,vi,3.869513864240223
15,Pali,pi,2.927097689619279
16,Indonesian,id,2.8979333780384677
17,Dutch,nl,2.7093385463720177
18,Czech,cs,2.7036389682879176
19,Hungarian,hu,2.5699281585821674
20,Uzbek,uz,2.384537164161133
21,Finnish,fi,2.369210641454192
22,Korean,ko,2.3328889835684903
23,Thai,th,2.112569160750316
24,Frafra,gur,1.9578095312946375
25,Arabic,ar,1.918215039121837
26,Estonian,et,1.7326737259603109
27,Norwegian (Bokmål),no,1.712891705920064
28,Turkish,tr,1.706061326925882
29,Bengali,bn,1.4999112059480042
30,Greek,el,1.477212394906392
31,Serbian,sr,1.4647233749643895
32,Nigerian Pidgin,pcm,1.3537985425699195
33,Catalan,ca,1.1564845913171555
34,Bulgarian,bg,1.073861996325063
35,Telugu,te,1.051961626369805
36,Romanian,ro,0.9996703830136258
37,Serbo-Croatian,sh,0.993521402032628
38,Danish,da,0.9554554114051438
39,Moroccan Arabic,ary,0.9375842077259084
40,Macedonian,mk,0.8887755112427963
41,Ripuarian,ksh,0.8704388816820919
42,Armenian,hy,0.8607486877198635
43,Azerbaijani,az,0.7573321597361441
44,Basque,eu,0.7335362760202248
45,Malayalam,ml,0.7260156396711119
46,Greenlandic,kl,0.7041934181548476
47,Tamil,ta,0.6819316811546203
48,Cebuano,ceb,0.6400271660218158
49,Urdu,ur,0.5807551964042507
