Language,Wiki,Articles,botArticles,Percentage
Cebuano,ceb,6123587,6099406,99.60511706619013
Pali,pi,2548,2532,99.37205651491365
Southern Min,zh-min-nan,432436,401203,92.77742833621623
Bishnupriya Manipuri,bpy,25087,22935,91.42185195519592
Waray,war,1266100,1142993,90.27667640786667
Malagasy,mg,95465,85574,89.6391347614309
Newar,new,72348,63459,87.71355116934815
Tatar,tt,499963,431558,86.31798753107729
Chechen,ce,599686,504686,84.15837621688684
Tarantino,roa-tara,9317,7521,80.72340882258237
South Azerbaijani,azb,242972,189379,77.94272591080454
Silesian,szl,56862,43314,76.17389469241321
Asturian,ast,132057,94857,71.83034598696018
Piedmontese,pms,67867,48638,71.6666421088305
Swedish,sv,2561243,1745105,68.13508128670337
Welsh,cy,278635,184184,66.10224846124859
Burmese,my,106322,68150,64.09774082504092
Māori,mi,7787,4949,63.554642352639014
Kyrgyz,ky,80368,50078,62.31086999800916
Vietnamese,vi,1282386,746626,58.22162749749295
Eastern Min,cdo,15927,8882,55.76693664845859
Serbo-Croatian,sh,457985,254296,55.524962607945675
Neapolitan,nap,14778,8056,54.51346596291785
Venetian,vec,69152,37035,53.55593475242943
Mazanderani,mzn,14428,7703,53.38924313834211
Uzbek,uz,224124,117457,52.407149613606755
Kazakh,kk,233210,120550,51.691608421594275
Lombard,lmo,57550,29731,51.6611642050391
Banyumasan,map-bms,13845,7001,50.56699169375226
Basque,eu,409627,202615,49.46329221462452
Serbian,sr,669768,326500,48.748223265369504
Urdu,ur,188660,86913,46.0685889960776
Volapük,vo,33272,15045,45.21820149074297
Chuvash,cv,50963,22843,44.822714518376074
Bashkir,ba,62498,27984,44.77583282665045
Kashmiri,ks,2777,1242,44.724522866402594
Romanian,ro,437712,184781,42.21520086266769
Occitan,oc,88515,37273,42.10924702027905
Dutch,nl,2120283,848862,40.035316040358765
Arabic,ar,1204339,480172,39.87016944564612
Telugu,te,81962,28487,34.75635050389205
Slovak,sk,244334,84719,34.67343881735657
Sundanese,su,61417,19773,32.194669228389536
Afrikaans,af,107494,34558,32.148771094200605
Tetum,tet,1347,429,31.848552338530066
Persian,fa,958816,293645,30.625792644261256
Zeelandic,zea,5672,1730,30.50070521861777
Tajik,tg,109497,28013,25.58334931550636
Kurdish (Sorani),ckb,49046,12458,25.400644293112588
Indonesian,id,643081,158893,24.708084984628687
Armenian,hy,296647,68496,23.09007001587746
Belarusian,be,230170,50314,21.85949515575444
Ukrainian,uk,1257759,267351,21.25613889465311
Gagauz,gag,2803,569,20.299678915447736
Hill Mari,mrj,10430,2014,19.30968360498562
Odia,or,16611,3146,18.939257118776712
Fiji Hindi,hif,10483,1981,18.897262234093294
Northern Sámi,se,7841,1451,18.50529269225864
Karachay-Balkar,krc,2065,376,18.208232445520583
Bihari (Bhojpuri),bh,8311,1429,17.19408013476116
Meadow Mari,mhr,10758,1811,16.83398401189812
Malay,ms,364205,58833,16.153814472618443
Bosnian,bs,91729,14247,15.53162031636669
Tamil,ta,153462,23700,15.443562575751653
Sanskrit,sa,11974,1840,15.36662769333556
Hungarian,hu,523645,79352,15.153777845677892
Ossetian,os,16962,2478,14.609126282278034
Macedonian,mk,135485,18179,13.417721518987342
Amharic,am,15189,1988,13.088419250773587
Quechua (Southern Quechua),qu,23383,2872,12.282427404524654
Bulgarian,bg,289861,35600,12.281748838236258
Portuguese,pt,1101393,132173,12.000530237617271
Polish,pl,1563797,185976,11.892592197069057
Chinese,zh,1345918,159655,11.862163965412455
Irish,ga,58411,6711,11.489274280529353
Moroccan Arabic,ary,6593,742,11.25436068557561
Esperanto,eo,334673,34962,10.446615054097581
Albanian,sq,89168,9092,10.196483043244212
Gan Chinese,gan,6596,672,10.18799272286234
Catalan,ca,724808,73470,10.136477522323153
Aragonese,an,43635,4234,9.7032198922883
Hindi,hi,156119,14351,9.192346863610451
Erzya,myv,7797,674,8.644350391176093
Crimean Tatar,crh,23938,2037,8.509482830645835
Russian,ru,1907471,150491,7.889556381197932
Croatian,hr,214365,14350,6.694189816434585
Kashubian,csb,5450,362,6.6422018348623855
Dutch Low Saxon,nds-nl,7640,492,6.439790575916231
Italian,it,1806143,115238,6.380336440691573
Pashto,ps,17408,1007,5.784696691176471
Danish,da,290726,16070,5.527541396366338
Korean,ko,630546,30317,4.808055241013344
Avar,av,3334,154,4.619076184763047
Novial,nov,1530,65,4.248366013071895
Galician,gl,195667,7924,4.049737564331236
Lak,lbe,1264,50,3.9556962025316458
Latin,la,137710,5402,3.9227361847360394
Alemannic German,als,29750,1131,3.8016806722689074
Wu Chinese,wuu,42796,1591,3.717637162351622
Javanese,jv,72462,2414,3.331401286191383
Bengali,bn,137028,4530,3.305893685961993
